=== softmax trace+probe run_id=vepscii4 train_id=3ilw1l9s ===


########################################
# CHECKPOINT EPISODE 0
########################################
[t=000 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=011 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=012 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=0(RIGHT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:1.0000, 0:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=013 ep=00] state={"_env_class": "TMaze", "position": 2, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=0(RIGHT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[2:0.8947, 1:0.1053, 0:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=014 ep=00] state={"_env_class": "TMaze", "position": 3, "last_position": 2, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=0(RIGHT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[3:0.7646, 2:0.1799, 1:0.0556, 0:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=015 ep=00] state={"_env_class": "TMaze", "position": 2, "last_position": 3, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[2:0.7039, 1:0.1663, 3:0.0897, 4:0.0401, 0:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=016 ep=00] state={"_env_class": "TMaze", "position": 2, "last_position": 2, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=0(RIGHT)[greedy] | r=-0.1000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[3:0.6144, 2:0.2181, 4:0.0809, 1:0.0523, 5:0.0344, 0:0.0000, 6:0.0000, 7:0.0000]
[t=017 ep=00] state={"_env_class": "TMaze", "position": 3, "last_position": 2, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[2:0.5720, 1:0.1994, 3:0.1477, 4:0.0712, 5:0.0078, 6:0.0018, 0:0.0000, 7:0.0000]
[t=018 ep=00] state={"_env_class": "TMaze", "position": 2, "last_position": 3, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:0.6095, 2:0.2320, 3:0.1251, 4:0.0255, 5:0.0071, 6:0.0007, 7:0.0001, 0:0.0000]
[t=019 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 2, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:0.5357, 2:0.3320, 3:0.0950, 4:0.0307, 5:0.0053, 6:0.0011, 7:0.0001, 8:0.0000]
[t=020 ep=00] state={"_env_class": "TMaze", "position": 2, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=0(RIGHT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[2:0.5069, 3:0.3013, 4:0.0864, 1:0.0721, 5:0.0275, 6:0.0048, 7:0.0009, 8:0.0001]
[t=021 ep=00] state={"_env_class": "TMaze", "position": 2, "last_position": 2, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:0.4667, 2:0.3307, 3:0.1373, 4:0.0501, 5:0.0118, 6:0.0028, 7:0.0004, 8:0.0001]
[t=022 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 2, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:0.5433, 2:0.2870, 3:0.1208, 4:0.0364, 5:0.0101, 6:0.0021, 7:0.0004, 8:0.0001]
[t=023 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=024 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=025 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=026 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=027 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=028 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=029 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=030 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=031 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=032 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=033 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=034 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=035 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=036 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=037 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=038 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=039 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=040 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=041 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=042 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=043 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=044 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=045 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=046 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=047 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:1.0000, 0:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=048 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=049 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=050 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=051 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:1.0000, 0:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=052 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=053 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=054 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=055 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=056 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=057 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=058 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:1.0000, 0:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=059 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=060 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=061 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=062 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=063 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=064 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=065 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=066 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=067 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
